prakriti,ritu,goal,meal_slot,meal_id
Vata,Vasant,energy,phalahar,V001
Vata,Vasant,energy,regular fast meal,V002
Vata,Vasant,energy,liquid fast,V003
Vata,Vasant,digestion,phalahar,V004
Vata,Vasant,digestion,regular fast meal,V005
Vata,Vasant,digestion,liquid fast,V006
Vata,Vasant,weightloss,phalahar,V007
Vata,Vasant,weightloss,regular fast meal,V008
Vata,Vasant,weightloss,liquid fast,V009
Vata,Vasant,weightgain,phalahar,V010
Vata,Vasant,weightgain,regular fast meal,V011
Vata,Vasant,weightgain,liquid fast,V012
Vata,Vasant,immunity,phalahar,V013
Vata,Vasant,immunity,regular fast meal,V014
Vata,Vasant,immunity,liquid fast,V015
Vata,Greeshma,energy,phalahar,V016
Vata,Greeshma,energy,regular fast meal,V017
Vata,Greeshma,energy,liquid fast,V018
Vata,Greeshma,digestion,phalahar,V019
Vata,Greeshma,digestion,regular fast meal,V020
Vata,Greeshma,digestion,liquid fast,V021
Vata,Greeshma,weightloss,phalahar,V022
Vata,Greeshma,weightloss,regular fast meal,V023
Vata,Greeshma,weightloss,liquid fast,V024
Vata,Greeshma,weightgain,phalahar,V025
Vata,Greeshma,weightgain,regular fast meal,V026
Vata,Greeshma,weightgain,liquid fast,V027
Vata,Greeshma,immunity,phalahar,V028
Vata,Greeshma,immunity,regular fast meal,V029
Vata,Greeshma,immunity,liquid fast,V030
Vata,Varsha,energy,phalahar,V031
Vata,Varsha,energy,regular fast meal,V032
Vata,Varsha,energy,liquid fast,V033
Vata,Varsha,digestion,phalahar,V034
Vata,Varsha,digestion,regular fast meal,V035
Vata,Varsha,digestion,liquid fast,V036
Vata,Varsha,weightloss,phalahar,V037
Vata,Varsha,weightloss,regular fast meal,V038
Vata,Varsha,weightloss,liquid fast,V039
Vata,Varsha,weightgain,phalahar,V040
Vata,Varsha,weightgain,regular fast meal,V041
Vata,Varsha,weightgain,liquid fast,V042
Vata,Varsha,immunity,phalahar,V043
Vata,Varsha,immunity,regular fast meal,V044
Vata,Varsha,immunity,liquid fast,V045
Vata,Sharad,energy,phalahar,V046
Vata,Sharad,energy,regular fast meal,V047
Vata,Sharad,energy,liquid fast,V048
Vata,Sharad,digestion,phalahar,V049
Vata,Sharad,digestion,regular fast meal,V050
Vata,Sharad,digestion,liquid fast,V051
Vata,Sharad,weightloss,phalahar,V052
Vata,Sharad,weightloss,regular fast meal,V053
Vata,Sharad,weightloss,liquid fast,V054
