prakriti,ritu,goal,meal_slot,meal_id
Vata,Vasant,energy,breakfast,V001
Vata,Vasant,energy,lunch,V002
Vata,Vasant,energy,dinner,V003
Vata,Vasant,digestion,breakfast,V004
Vata,Vasant,digestion,lunch,V005
Vata,Vasant,digestion,dinner,V006
Vata,Vasant,weightloss,breakfast,V007
Vata,Vasant,weightloss,lunch,V008
Vata,Vasant,weightloss,dinner,V009
Vata,Vasant,weightgain,breakfast,V010
Vata,Vasant,weightgain,lunch,V011
Vata,Vasant,weightgain,dinner,V012
Vata,Vasant,immunity,breakfast,V013
Vata,Vasant,immunity,lunch,V014
Vata,Vasant,immunity,dinner,V015
Vata,Greeshma,energy,breakfast,V016
Vata,Greeshma,energy,lunch,V017
Vata,Greeshma,energy,dinner,V018
Vata,Greeshma,digestion,breakfast,V019
Vata,Greeshma,digestion,lunch,V020
Vata,Greeshma,digestion,dinner,V021
Vata,Greeshma,weightloss,breakfast,V022
Vata,Greeshma,weightloss,lunch,V023
Vata,Greeshma,weightloss,dinner,V024
Vata,Greeshma,weightgain,breakfast,V025
Vata,Greeshma,weightgain,lunch,V026
Vata,Greeshma,weightgain,dinner,V027
Vata,Greeshma,immunity,breakfast,V028
Vata,Greeshma,immunity,lunch,V029
Vata,Greeshma,immunity,dinner,V030
Vata,Varsha,energy,breakfast,V031
Vata,Varsha,energy,lunch,V032
Vata,Varsha,energy,dinner,V033
Vata,Varsha,digestion,breakfast,V034
Vata,Varsha,digestion,lunch,V035
Vata,Varsha,digestion,dinner,V036
Vata,Varsha,weightloss,breakfast,V037
Vata,Varsha,weightloss,lunch,V038
Vata,Varsha,weightloss,dinner,V039
Vata,Varsha,weightgain,breakfast,V040
Vata,Varsha,weightgain,lunch,V041
Vata,Varsha,weightgain,dinner,V042
Vata,Varsha,immunity,breakfast,V043
Vata,Varsha,immunity,lunch,V044
Vata,Varsha,immunity,dinner,V045
Vata,Sharad,energy,breakfast,V046
Vata,Sharad,energy,lunch,V047
Vata,Sharad,energy,dinner,V048
Vata,Sharad,digestion,breakfast,V049
Vata,Sharad,digestion,lunch,V050
Vata,Sharad,digestion,dinner,V051
Vata,Sharad,weightloss,breakfast,V052
Vata,Sharad,weightloss,lunch,V053
