prakriti,ritu,goal,meal_slot,meal_id
Vata,Vasant,energy,breakfast,V002
Vata,Vasant,energy,lunch,V059
Vata,Vasant,energy,dinner,V103
Vata,Vasant,digestion,breakfast,V029
Vata,Vasant,digestion,lunch,V143
Vata,Vasant,digestion,dinner,V106
Vata,Vasant,weightloss,breakfast,V020
Vata,Vasant,weightloss,lunch,V138
Vata,Vasant,weightloss,dinner,V069
Vata,Vasant,weightgain,breakfast,V016
Vata,Vasant,weightgain,lunch,V035
Vata,Vasant,weightgain,dinner,V076
Vata,Vasant,immunity,breakfast,V022
Vata,Vasant,immunity,lunch,V084
Vata,Vasant,immunity,dinner,V104
Vata,Greeshma,energy,breakfast,V126
Vata,Greeshma,energy,lunch,V147
Vata,Greeshma,energy,dinner,V107
Vata,Greeshma,digestion,breakfast,V008
Vata,Greeshma,digestion,lunch,V040
Vata,Greeshma,digestion,dinner,V073
Vata,Greeshma,weightloss,breakfast,V012
Vata,Greeshma,weightloss,lunch,V053
Vata,Greeshma,weightloss,dinner,V097
Vata,Greeshma,weightgain,breakfast,V110
Vata,Greeshma,weightgain,lunch,V049
Vata,Greeshma,weightgain,dinner,V093
Vata,Greeshma,immunity,breakfast,V117
Vata,Greeshma,immunity,lunch,V100
Vata,Greeshma,immunity,dinner,V096
Vata,Varsha,energy,breakfast,V021
Vata,Varsha,energy,lunch,V052
Vata,Varsha,energy,dinner,V055
Vata,Varsha,digestion,breakfast,V003
Vata,Varsha,digestion,lunch,V057
Vata,Varsha,digestion,dinner,V093
Vata,Varsha,weightloss,breakfast,V024
Vata,Varsha,weightloss,lunch,V052
Vata,Varsha,weightloss,dinner,V080
Vata,Varsha,weightgain,breakfast,V019
Vata,Varsha,weightgain,lunch,V037
Vata,Varsha,weightgain,dinner,V083
Vata,Varsha,immunity,breakfast,V090
Vata,Varsha,immunity,lunch,V063
Vata,Varsha,immunity,dinner,V101
Vata,Sharad,energy,breakfast,V127
Vata,Sharad,energy,lunch,V074
Vata,Sharad,energy,dinner,V083
Vata,Sharad,digestion,breakfast,V009
Vata,Sharad,digestion,lunch,V057
Vata,Sharad,digestion,dinner,V142
Vata,Sharad,weightloss,breakfast,V108
Vata,Sharad,weightloss,lunch,V036
Vata,Sharad,weightloss,dinner,V087
Vata,Sharad,weightgain,breakfast,V112
Vata,Sharad,weightgain,lunch,V037
Vata,Sharad,weightgain,dinner,V085
Vata,Sharad,immunity,breakfast,V027
Vata,Sharad,immunity,lunch,V072
Vata,Sharad,immunity,dinner,V091
Vata,Hemant,energy,breakfast,V004
Vata,Hemant,energy,lunch,V030
Vata,Hemant,energy,dinner,V146
Vata,Hemant,digestion,breakfast,V013
Vata,Hemant,digestion,lunch,V148
Vata,Hemant,digestion,dinner,V145
Vata,Hemant,weightloss,breakfast,V014
Vata,Hemant,weightloss,lunch,V045
Vata,Hemant,weightloss,dinner,V087
Vata,Hemant,weightgain,breakfast,V025
Vata,Hemant,weightgain,lunch,V035
Vata,Hemant,weightgain,dinner,V093
Vata,Hemant,immunity,breakfast,V023
Vata,Hemant,immunity,lunch,V054
Vata,Hemant,immunity,dinner,V128
Vata,Shishir,energy,breakfast,V014
Vata,Shishir,energy,lunch,V030
Vata,Shishir,energy,dinner,V076
Vata,Shishir,digestion,breakfast,V114
Vata,Shishir,digestion,lunch,V148
Vata,Shishir,digestion,dinner,V101
Vata,Shishir,weightloss,breakfast,V024
Vata,Shishir,weightloss,lunch,V090
Vata,Shishir,weightloss,dinner,V096
Vata,Shishir,weightgain,breakfast,V067
Vata,Shishir,weightgain,lunch,V037
Vata,Shishir,weightgain,dinner,V146
Vata,Shishir,immunity,breakfast,V006
Vata,Shishir,immunity,lunch,V063
Vata,Shishir,immunity,dinner,V138
Pitta,Vasant,energy,breakfast,V118
Pitta,Vasant,energy,lunch,V061
Pitta,Vasant,energy,dinner,V088
Pitta,Vasant,digestion,breakfast,V020
Pitta,Vasant,digestion,lunch,V149
Pitta,Vasant,digestion,dinner,V106
Pitta,Vasant,weightloss,breakfast,V116
Pitta,Vasant,weightloss,lunch,V031
Pitta,Vasant,weightloss,dinner,V100
Pitta,Vasant,weightgain,breakfast,V016
Pitta,Vasant,weightgain,lunch,V156
Pitta,Vasant,weightgain,dinner,V085
Pitta,Vasant,immunity,breakfast,V012
Pitta,Vasant,immunity,lunch,V046
Pitta,Vasant,immunity,dinner,V139
Pitta,Greeshma,energy,breakfast,V009
Pitta,Greeshma,energy,lunch,V042
Pitta,Greeshma,energy,dinner,V107
Pitta,Greeshma,digestion,breakfast,V010
Pitta,Greeshma,digestion,lunch,V040
Pitta,Greeshma,digestion,dinner,V089
Pitta,Greeshma,weightloss,breakfast,V113
Pitta,Greeshma,weightloss,lunch,V056
Pitta,Greeshma,weightloss,dinner,V105
Pitta,Greeshma,weightgain,breakfast,V121
Pitta,Greeshma,weightgain,lunch,V036
Pitta,Greeshma,weightgain,dinner,V075
Pitta,Greeshma,immunity,breakfast,V126
Pitta,Greeshma,immunity,lunch,V152
Pitta,Greeshma,immunity,dinner,V128
Pitta,Varsha,energy,breakfast,V114
Pitta,Varsha,energy,lunch,V062
Pitta,Varsha,energy,dinner,V084
Pitta,Varsha,digestion,breakfast,V028
Pitta,Varsha,digestion,lunch,V052
Pitta,Varsha,digestion,dinner,V142
Pitta,Varsha,weightloss,breakfast,V028
Pitta,Varsha,weightloss,lunch,V041
Pitta,Varsha,weightloss,dinner,V080
Pitta,Varsha,weightgain,breakfast,V018
Pitta,Varsha,weightgain,lunch,V047
Pitta,Varsha,weightgain,dinner,V078
Pitta,Varsha,immunity,breakfast,V004
Pitta,Varsha,immunity,lunch,V062
Pitta,Varsha,immunity,dinner,V106
Pitta,Sharad,energy,breakfast,V009
Pitta,Sharad,energy,lunch,V157
Pitta,Sharad,energy,dinner,V081
Pitta,Sharad,digestion,breakfast,V112
Pitta,Sharad,digestion,lunch,V053
Pitta,Sharad,digestion,dinner,V069
Pitta,Sharad,weightloss,breakfast,V117
Pitta,Sharad,weightloss,lunch,V149
Pitta,Sharad,weightloss,dinner,V087
Pitta,Sharad,weightgain,breakfast,V112
Pitta,Sharad,weightgain,lunch,V040
Pitta,Sharad,weightgain,dinner,V096
Pitta,Sharad,immunity,breakfast,V010
Pitta,Sharad,immunity,lunch,V033
Pitta,Sharad,immunity,dinner,V136
Pitta,Hemant,energy,breakfast,V004
Pitta,Hemant,energy,lunch,V057
Pitta,Hemant,energy,dinner,V081
Pitta,Hemant,digestion,breakfast,V013
Pitta,Hemant,digestion,lunch,V143
Pitta,Hemant,digestion,dinner,V091
Pitta,Hemant,weightloss,breakfast,V024
Pitta,Hemant,weightloss,lunch,V051
Pitta,Hemant,weightloss,dinner,V086
Pitta,Hemant,weightgain,breakfast,V025
Pitta,Hemant,weightgain,lunch,V157
Pitta,Hemant,weightgain,dinner,V142
Pitta,Hemant,immunity,breakfast,V016
Pitta,Hemant,immunity,lunch,V153
Pitta,Hemant,immunity,dinner,V084
Pitta,Shishir,energy,breakfast,V004
Pitta,Shishir,energy,lunch,V061
Pitta,Shishir,energy,dinner,V130
Pitta,Shishir,digestion,breakfast,V013
Pitta,Shishir,digestion,lunch,V063
Pitta,Shishir,digestion,dinner,V086
Pitta,Shishir,weightloss,breakfast,V126
Pitta,Shishir,weightloss,lunch,V164
Pitta,Shishir,weightloss,dinner,V145
Pitta,Shishir,weightgain,breakfast,V001
Pitta,Shishir,weightgain,lunch,V033
Pitta,Shishir,weightgain,dinner,V078
Pitta,Shishir,immunity,breakfast,V131
Pitta,Shishir,immunity,lunch,V065
Pitta,Shishir,immunity,dinner,V070
Kapha,Vasant,energy,breakfast,V110
Kapha,Vasant,energy,lunch,V044
Kapha,Vasant,energy,dinner,V094
Kapha,Vasant,digestion,breakfast,V120
Kapha,Vasant,digestion,lunch,V041
Kapha,Vasant,digestion,dinner,V141
Kapha,Vasant,weightloss,breakfast,V011
Kapha,Vasant,weightloss,lunch,V158
Kapha,Vasant,weightloss,dinner,V092
Kapha,Vasant,weightgain,breakfast,V025
Kapha,Vasant,weightgain,lunch,V165
